directory,filename,filepath,length,dominant_topic,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob,topic_6_prob,topic_7_prob
final-project-brendan-hitesh,issue_3_Feature 2_ Commenting on Posts.txt,context-fa24/final-project-brendan-hitesh/issue_3_Feature 2_ Commenting on Posts.txt,193,4,0.03571549135065038,0.03571563022177623,0.035793345994683326,0.7852899066824571,0.03571551874836982,0.0357153362512812,0.03605477075078187
final-project-brendan-hitesh,issue_8_Logging and Monitoring.txt,context-fa24/final-project-brendan-hitesh/issue_8_Logging and Monitoring.txt,139,4,0.02861568212436515,0.028574645437787937,0.0286698490403155,0.636447271248364,0.028574660747762343,0.028657038898846923,0.22046085250255817
final-project-brendan-hitesh,issue_9_User Authentication.txt,context-fa24/final-project-brendan-hitesh/issue_9_User Authentication.txt,172,6,0.03573416539575062,0.03573786471784691,0.03573757708207866,0.035716070487099995,0.035733146596113846,0.7856240918816432,0.035717083839466666
final-project-brendan-hitesh,issue_6_Feature 3_ Post Tagging and Search 2_2.txt,context-fa24/final-project-brendan-hitesh/issue_6_Feature 3_ Post Tagging and Search 2_2.txt,266,4,0.009529687840056639,0.009524099567762349,0.009524013868147694,0.9428427381245625,0.00952637302682274,0.009529040775704477,0.00952404679694357
final-project-brendan-hitesh,issue_4_Feature 2_ Commenting and Voting on Posts 2_2.txt,context-fa24/final-project-brendan-hitesh/issue_4_Feature 2_ Commenting and Voting on Posts 2_2.txt,199,4,0.028622092371993722,0.028706854157456423,0.028617857630218332,0.8281305673169995,0.028572924775812095,0.028572612571831343,0.028777091175688614
final-project-brendan-hitesh,issue_5_Feature 3_ Post Tagging and Search 1_2.txt,context-fa24/final-project-brendan-hitesh/issue_5_Feature 3_ Post Tagging and Search 1_2.txt,268,4,0.009529643781459428,0.009524065242088892,0.00952400348684726,0.9428440148911923,0.009526348135035128,0.009527849597238677,0.00952407486613832
final-project-brendan-hitesh,issue_7_Data Integrity.txt,context-fa24/final-project-brendan-hitesh/issue_7_Data Integrity.txt,161,3,0.024050672042948147,0.023833812942875073,0.856788192130528,0.023810788626800854,0.02382901887490283,0.023875929428447,0.02381158595349814
final-project-brendan-hitesh,issue_2_Feature 1_ User Authentication and Logging.txt,context-fa24/final-project-brendan-hitesh/issue_2_Feature 1_ User Authentication and Logging.txt,307,7,0.017912626407481425,0.017862420207046845,0.017857714963902184,0.017945421323079705,0.01786275845554506,0.0178923477309932,0.8926667109119516
final-project-soha-heather,"issue_4_User Authentication, Tracking, and Logging User Story.txt","context-fa24/final-project-soha-heather/issue_4_User Authentication, Tracking, and Logging User Story.txt",312,6,0.0178737164088754,0.017876434478029897,0.017924332389011793,0.017952051081604026,0.017859589234979743,0.8925581914003337,0.01795568500716542
final-project-soha-heather,issue_13_Threat Modelling - Tampering.txt,context-fa24/final-project-soha-heather/issue_13_Threat Modelling - Tampering.txt,156,2,0.01298839356820449,0.5708451495145745,0.3641880475611031,0.012988452441840959,0.012997225798672473,0.012987546941699164,0.013005184173905183
